Sample,Location,Geolocation,GeoLocation Coordinates,Depth (in ft),Depth,Avg Depth,Date,Year,Season,Study,Type
GC_core_5_S5,7 Street,15,,2-3.8,Shallow,2.9,,,,Core Sample,
GC_core_2_S2,Gowanus,16,,1-1.5,Shallow,1.25,,,,Core Sample,
GC_core_12_S10,Gowanus,16,,9-9.5,Medium,9.25,,,,Core Sample,
GC_core_9_S7,7 Street,15,,7-9.0,Medium,8,,,,Core Sample,
GC_core_8_S6,Gowanus,16,,6-6.5,Medium,6.25,,,,Core Sample,
GC_core_11_S9,Gowanus,16,,8-8.5,Medium,8.25,,,,Core Sample,
GC_core_23_S19,Gowanus,16,,17-17.5,Deep,17.25,,,,Core Sample,
GC_core_24_S20,Gowanus,16,,18-18.5,Deep,18.25,,,,Core Sample,
GC_core_20_S16,Gowanus,16,,14-14.5,Deep,14.25,,,,Core Sample,
GC_core_10_S8,7 Street,15,,7-9.0,Medium,8,,,,Core Sample,
GC_core_13_S11,7 Street,15,,9-9.6,Medium,9.3,,,,Core Sample,
GC_core_14_S12,Gowanus,16,,10-10.5,Deep,10.25,,,,Core Sample,
GC_core_16_S13,7 Street,15,,9.6-11.3,Deep,12.15,,,,Core Sample,
GC_core_21_S17,Gowanus,16,,15-15.5,Deep,15.25,,,,Core Sample,
GC_core_19_S15,Gowanus,16,,13-13.5,Deep,13.25,,,,Core Sample,
GC_core_18_S14,Gowanus,16,,12-12.5,Deep,12.25,,,,Core Sample,
GC_core_4_S4,7 Street,15,,2-3.8,Shallow,2.9,,,,Core Sample,
GC_core_22_S18,Gowanus,16,,16-16.5,Deep,16.25,,,,Core Sample,
GC_core_1_S1,Gowanus,16,,0-0.5,Shallow,0.25,,,,Core Sample,
GC_core_3_S3,Gowanus,16,,2-2.5,Shallow,2.25,,,,Core Sample,
SRR1750106,Gowanus,14,,,,,Jun-20,2014,Summer,PathoMap,
SRR1750105,Gowanus,13,,,,,Jun-20,2014,Summer,PathoMap,
SRR1750104,Gowanus,12,,,,,Jun-20,2014,Summer,PathoMap,
SRR1750103,Gowanus,11,,,,,Jun-20,2014,Summer,PathoMap,
SRR1750102,Gowanus,10,,,,,Jun-20,2014,Summer,PathoMap,
SRR1750101,Gowanus,9,,,,,Jun-20,2014,Summer,PathoMap,
SRR1750100,Gowanus,8,,,,,Jun-20,2014,Summer,PathoMap,
SRR1750099,Gowanus,7,,,,,Jun-20,2014,Summer,PathoMap,
SRR1750098,Gowanus,6,,,,,Jun-20,2014,Summer,PathoMap,
SRR1750097,Gowanus,5,,,,,Jun-20,2014,Summer,PathoMap,
SRR1750096,Gowanus,4,,,,,Jun-20,2014,Summer,PathoMap,
SRR1750095,Gowanus,3,,,,,Jun-20,2014,Summer,PathoMap,
SRR1750094,Gowanus,2,,,,,Jun-20,2014,Summer,PathoMap,
SRR1750093,Gowanus,1,,,,,Jun-20,2014,Summer,PathoMap,
Apr2015_GCSS01_03222016_S15_L003,Gowanus,1,,,,,Apr-20,2015,Spring,LongSamples,
Apr2015_GCSS01-A_03222016_S29_L004,Gowanus,1,,,,,Apr-20,2015,Spring,LongSamples,Control
Apr2015_GCSS01-B_03222016_S30_L004,Gowanus,1,,,,,Apr-20,2015,Spring,LongSamples,Control
